patient,auc,auc_pr,prevalence,skill,event_sens,fpr_h
chb01,0.2892762711120407,0.017631522905698634,0.027501625940722845,-0.010149223174354216,0.5,1.7196904557179709
chb02,0.482943164669053,0.030202869584719114,0.026592399604707575,0.0037091039545462333,0.0,1.8938624826949702
chb03,0.2940395015477524,0.02506331021867542,0.039112050739957716,-0.014620581444590816,0.0,1.155115511551155
chb04,0.5085436572683176,0.005226385179177804,0.005464884425079389,-0.00023980977862577896,1.0,1.4167966139451995
chb05,0.5384752399458282,0.06692409683635639,0.03980634749865519,0.028241958553942032,1.0,1.1428571428571428
chb06,0.6004047435914102,0.08520043158915092,0.05525951188319301,0.031692216098031814,0.6666666666666666,1.3401771109481642
chb07,0.5648605235358636,0.026638000956248617,0.01962513781697905,0.007153246589425884,1.0,1.5708502024291497
chb08,0.8438861498047149,0.5240721518216679,0.15739167374681393,0.435173100775501,1.0,1.179732795563398
chb09,0.4450310037641927,0.02333658547407482,0.02627957562036667,-0.0030224180089134488,0.6666666666666666,1.1488488716662868
chb10,0.755199089920589,0.14141084281196115,0.061946285315660966,0.08471216120394609,0.5,0.7496095783446123
chb13,0.5749017893939192,0.05577619708942897,0.05177238805970149,0.00422241345781393,1.0,1.5937038858829315
chb14,0.5735063687289907,0.13084290295198978,0.11322410766530135,0.01986837422959454,0.25,0.7720224348399868
chb15,0.6051313098178451,0.06635052046327658,0.047072668431891736,0.020230138639912652,0.3333333333333333,0.6112997838839148
chb16,0.40944004649593746,0.06955018644092871,0.08576371725160653,-0.01773450815355568,1.0,1.8491484184914841
chb17,0.5592721869559866,0.07944396471652779,0.06735436893203883,0.012962689559426022,1.0,1.7566688353936237
chb18,0.5335427850473393,0.060070856696490746,0.052153995242709895,0.008352476471964534,1.0,1.673017938470118
chb19,0.3448838810955802,0.020378584510072732,0.029632595855440987,-0.009536605728761322,0.0,0.8170844939647168
chb20,0.1695166377893287,0.02734263888566654,0.047990635973468594,-0.0216888592360806,1.0,1.7704918032786887
chb22,0.7005932549865604,0.061669441380498444,0.030778829156701673,0.03187158220751567,1.0,1.3517862890247827
chb23,0.6562761900771036,0.14065343571015573,0.08826945412311266,0.057455551778909666,1.0,1.8917197452229302
chb24,0.4784970872633003,0.150380445216156,0.1575767746266152,-0.008542415728471385,0.14285714285714285,1.2908366533864541
