patient,auc,auc_pr,sensitivity,specificity,f1,balanced_accuracy,fpr_per_hour
chb01,0.5092,0.6552,0.7095,0.2067,0.6481,0.4581,285.5866
chb02,0.4292,0.4541,0.3818,0.4801,0.3903,0.4309,187.156
chb03,0.5111,0.6916,0.6577,0.2944,0.6584,0.476,254.0187
chb04,0.4405,0.1522,0.4426,0.4904,0.2009,0.4665,183.4515
chb05,0.5853,0.7167,0.3063,0.8088,0.4331,0.5575,68.8446
chb06,0.4745,0.1537,0.8582,0.1707,0.277,0.5145,298.5398
chb07,0.538,0.1574,0.8517,0.1644,0.2611,0.508,300.8199
chb08,0.523,0.5858,0.6478,0.428,0.6287,0.5379,205.9065
chb09,0.4251,0.1694,0.7787,0.2174,0.3294,0.4981,281.7391
chb10,0.5951,0.3083,0.4482,0.6676,0.3742,0.5579,119.668
chb13,0.4278,0.5408,0.5698,0.3415,0.5542,0.4556,237.0732
chb14,0.533,0.6321,0.0258,0.9747,0.0496,0.5002,9.1228
chb15,0.6138,0.5925,0.6312,0.5255,0.6196,0.5784,170.8029
chb16,0.6057,0.801,0.6311,0.4746,0.6975,0.5529,189.1525
chb17,0.5877,0.6163,0.9099,0.1224,0.6819,0.5162,315.9375
chb18,0.5191,0.6651,0.8041,0.1449,0.6954,0.4745,307.8409
chb19,0.4511,0.4243,0.6622,0.4393,0.5913,0.5508,201.8361
chb20,0.505,0.6994,0.6504,0.2044,0.6375,0.4274,286.4088
chb22,0.5457,0.4989,0.6182,0.4781,0.5562,0.5482,187.8717
chb23,0.3757,0.251,0.5526,0.2627,0.3423,0.4076,265.4414
chb24,0.6223,0.6005,0.9617,0.1393,0.6701,0.5505,309.8688
MEAN,0.5151,0.4936,0.6238,0.3827,0.4903,0.5032,222.2423
STD,0.0714,0.2118,0.219,0.231,0.1916,0.0497,83.1743
