patient,auc,auc_pr,sensitivity,specificity,f1,balanced_accuracy,fpr_per_hour
chb01,0.5199,0.6477,0.5236,0.5028,0.5741,0.5132,178.9944
chb02,0.5024,0.4868,0.527,0.4954,0.5057,0.5112,181.6514
chb03,0.5145,0.6986,0.5,0.5374,0.5804,0.5187,166.5421
chb04,0.4782,0.1426,0.4662,0.5148,0.2175,0.4905,174.6659
chb05,0.4919,0.6467,0.4662,0.5139,0.5356,0.4901,174.9801
chb06,0.4982,0.1647,0.5005,0.5037,0.2444,0.5021,178.6726
chb07,0.477,0.1512,0.4899,0.4795,0.2227,0.4847,187.3794
chb08,0.4862,0.568,0.4683,0.5047,0.5129,0.4865,178.3178
chb09,0.4941,0.2064,0.4831,0.4922,0.2844,0.4876,182.8238
chb10,0.4701,0.2427,0.4685,0.4862,0.3195,0.4773,184.9802
chb11,0.46,0.54,0.4527,0.4741,0.4855,0.4634,189.3103
chb13,0.5346,0.597,0.4932,0.5701,0.5448,0.5317,154.7561
chb14,0.5099,0.6168,0.5,0.4971,0.5455,0.4985,181.0526
chb15,0.4731,0.5278,0.5,0.4781,0.5136,0.4891,187.8832
chb16,0.4315,0.7094,0.4957,0.4322,0.587,0.4639,204.4068
chb17,0.4939,0.5338,0.482,0.5104,0.5059,0.4962,176.25
chb18,0.5195,0.648,0.5338,0.517,0.5863,0.5254,173.8636
chb19,0.4723,0.477,0.4527,0.4984,0.4597,0.4755,180.5902
chb20,0.5417,0.694,0.523,0.5801,0.605,0.5516,151.1602
chb21,0.5102,0.6475,0.518,0.5116,0.575,0.5148,175.814
chb22,0.4708,0.4481,0.4628,0.4869,0.4499,0.4749,184.723
chb23,0.5276,0.3211,0.5197,0.5159,0.3967,0.5178,174.2692
chb24,0.4892,0.4897,0.4995,0.4914,0.4906,0.4954,183.0878
MEAN,0.4942,0.4872,0.4925,0.5041,0.4671,0.4983,178.5293
STD,0.0262,0.1889,0.0246,0.0304,0.1244,0.0221,10.9326
