patient,auc,auc_pr,sensitivity,specificity,f1,balanced_accuracy,fpr_per_hour
chb01,0.5446,0.6452,0.6926,0.3966,0.6732,0.5446,217.2067
chb02,0.4871,0.4689,0.4696,0.5046,0.4657,0.4871,178.3486
chb03,0.4797,0.666,0.6509,0.3084,0.6561,0.4797,248.972
chb04,0.5034,0.1476,0.152,0.8547,0.1523,0.5034,52.2952
chb05,0.5015,0.6396,0.6644,0.3386,0.6519,0.5015,238.0876
chb06,0.4967,0.1596,0.1601,0.8333,0.1576,0.4967,60.0
chb07,0.4918,0.1498,0.1303,0.8533,0.1336,0.4918,52.8135
chb08,0.4772,0.57,0.5749,0.3794,0.5684,0.4772,223.4019
chb09,0.4998,0.2096,0.2027,0.797,0.206,0.4998,73.0973
chb10,0.4917,0.2567,0.2545,0.7289,0.2511,0.4917,97.6126
chb11,0.4849,0.5533,0.5473,0.4224,0.5473,0.4849,207.931
chb13,0.507,0.5786,0.5811,0.4329,0.5811,0.507,204.1463
chb14,0.5116,0.607,0.5982,0.425,0.6044,0.5116,207.0175
chb15,0.4822,0.5301,0.5812,0.3832,0.5511,0.4822,222.0438
chb16,0.495,0.7443,0.7781,0.2119,0.7606,0.495,283.7288
chb17,0.5002,0.5363,0.4977,0.5026,0.5164,0.5002,179.0625
chb18,0.483,0.6193,0.625,0.3409,0.6198,0.483,237.2727
chb19,0.4711,0.4789,0.4831,0.459,0.4735,0.4711,194.7541
chb20,0.4854,0.6646,0.6504,0.3204,0.6557,0.4854,244.6409
chb21,0.4908,0.6282,0.5901,0.3915,0.6072,0.4908,219.0698
chb22,0.498,0.4622,0.4595,0.5364,0.4602,0.498,166.8805
chb23,0.513,0.3114,0.3125,0.7135,0.3183,0.513,103.1548
chb24,0.5107,0.492,0.5037,0.5177,0.5005,0.5107,173.6428
MEAN,0.4959,0.4834,0.4852,0.5066,0.4831,0.4959,177.6166
STD,0.0156,0.1848,0.1902,0.1931,0.1875,0.0156,69.5159
