patient_id,auc,auc_pr,sensitivity,specificity,precision,f1,balanced_accuracy,fpr_per_hour,threshold,alarm_K,alarm_M,refractory_windows,n_preictal,n_interictal,model
chb01,0.2908,0.4937,0.0,1.0,0.0,0.0,0.5,0.0,0.8499999999999999,5,12,180,296,179,Coherence_CNN
chb02,0.3663,0.3767,0.0,1.0,0.0,0.0,0.5,0.0,0.7499999999999999,5,12,180,296,327,Coherence_CNN
chb03,0.5615,0.7493,0.0023,1.0,1.0,0.0045,0.5011,0.0,0.84,5,12,180,444,214,Coherence_CNN
chb04,0.3753,0.1112,0.0,0.9977,0.0,0.0,0.4988,0.8367,0.5599999999999999,5,12,180,296,1721,Coherence_CNN
chb05,0.5019,0.6501,0.0023,1.0,1.0,0.0045,0.5011,0.0,0.6799999999999999,5,12,180,444,251,Coherence_CNN
chb06,0.5208,0.1598,0.0029,0.9972,0.1667,0.0057,0.5001,0.9956,0.62,5,12,180,1037,5424,Coherence_CNN
chb07,0.1771,0.0893,0.0,0.998,0.0,0.0,0.499,0.7235,0.7499999999999999,5,12,180,445,2488,Coherence_CNN
chb08,0.6192,0.6415,0.0067,0.9981,0.8333,0.0134,0.5024,0.6729,0.69,5,12,180,741,535,Coherence_CNN
chb09,0.6499,0.3094,0.0051,0.9973,0.3333,0.01,0.5012,0.9682,0.59,5,12,180,592,2231,Coherence_CNN
chb10,0.5112,0.2769,0.0023,0.9972,0.2222,0.0045,0.4997,0.996,0.5299999999999999,5,12,180,888,2530,Coherence_CNN
chb13,0.6299,0.7221,0.0068,1.0,1.0,0.0134,0.5034,0.0,0.71,5,12,180,444,328,Coherence_CNN
chb14,0.6478,0.7097,0.0052,0.9981,0.8,0.0103,0.5016,0.7018,0.3,5,12,180,774,513,Coherence_CNN
chb15,0.6191,0.6453,0.0,1.0,0.0,0.0,0.5,0.0,0.59,5,12,180,320,274,Coherence_CNN
chb16,0.5095,0.8085,0.0058,1.0,1.0,0.0115,0.5029,0.0,0.5499999999999999,5,12,180,347,118,Coherence_CNN
chb17,0.5478,0.5959,0.0068,0.9974,0.75,0.0134,0.5021,0.9375,0.49999999999999994,5,12,180,444,384,Coherence_CNN
chb18,0.5368,0.6732,0.0051,1.0,1.0,0.0101,0.5025,0.0,0.27999999999999997,5,12,180,592,352,Coherence_CNN
chb19,0.5915,0.5437,0.0,1.0,0.0,0.0,0.5,0.0,0.82,5,12,180,296,305,Coherence_CNN
chb20,0.4625,0.6213,0.0,1.0,0.0,0.0,0.5,0.0,0.58,5,12,180,369,181,Coherence_CNN
chb22,0.5453,0.5105,0.0034,1.0,1.0,0.0067,0.5017,0.0,0.58,5,12,180,296,343,Coherence_CNN
chb23,0.4788,0.2944,0.0,0.9978,0.0,0.0,0.4989,0.7815,0.6,5,12,180,608,1382,Coherence_CNN
chb24,0.5788,0.5638,0.0053,0.999,0.8333,0.0106,0.5022,0.3633,0.49999999999999994,5,12,180,939,991,Coherence_CNN
