patient,model,auc,auc_pr,threshold,sens_window,fpr_h_window,sens_alarm,fpr_h_alarm
chb01,Coherence_CNN,0.2908,0.4937,0.8499999999999999,0.006756756756756757,16.089385474860336,0.0,0.0
chb02,Coherence_CNN,0.3663,0.3767,0.7499999999999999,0.006756756756756757,1.1009174311926606,0.0,0.0
chb03,Coherence_CNN,0.5615,0.7493,0.84,0.6734234234234234,200.18691588785046,0.0023,0.0
chb04,Coherence_CNN,0.3753,0.1112,0.5599999999999999,0.7871621621621622,291.80708890180125,0.0,0.8367
chb05,Coherence_CNN,0.5019,0.6501,0.6799999999999999,0.28378378378378377,73.14741035856574,0.0023,0.0
chb06,Coherence_CNN,0.5208,0.1598,0.62,0.7820636451301832,262.7654867256637,0.0029,0.9956
chb07,Coherence_CNN,0.1771,0.0893,0.7499999999999999,0.9011235955056179,343.2154340836013,0.0,0.7235
chb08,Coherence_CNN,0.6192,0.6415,0.69,0.8205128205128205,233.49532710280374,0.0067,0.6729
chb09,Coherence_CNN,0.6499,0.3094,0.59,0.8293918918918919,246.56207978484986,0.0051,0.9682
chb10,Coherence_CNN,0.5112,0.2769,0.5299999999999999,0.7533783783783784,264.6640316205534,0.0023,0.996
chb13,Coherence_CNN,0.6299,0.7221,0.71,0.7837837837837838,239.26829268292684,0.0068,0.0
chb14,Coherence_CNN,0.6478,0.7097,0.3,0.4974160206718346,136.140350877193,0.0052,0.7018
chb15,Coherence_CNN,0.6191,0.6453,0.59,0.603125,174.74452554744528,0.0,0.0
chb16,Coherence_CNN,0.5095,0.8085,0.5499999999999999,0.11527377521613832,21.35593220338983,0.0058,0.0
chb17,Coherence_CNN,0.5478,0.5959,0.49999999999999994,0.777027027027027,251.25,0.0068,0.9375
chb18,Coherence_CNN,0.5368,0.6732,0.27999999999999997,0.1858108108108108,46.02272727272727,0.0051,0.0
chb19,Coherence_CNN,0.5915,0.5437,0.82,0.4560810810810811,136.91803278688525,0.0,0.0
chb20,Coherence_CNN,0.4625,0.6213,0.58,0.11382113821138211,33.812154696132595,0.0,0.0
chb22,Coherence_CNN,0.5453,0.5105,0.58,0.47297297297297297,125.94752186588921,0.0034,0.0
chb23,Coherence_CNN,0.4788,0.2944,0.6,0.8700657894736842,308.6830680173661,0.0,0.7815
chb24,Coherence_CNN,0.5788,0.5638,0.49999999999999994,0.6347177848775293,201.97780020181634,0.0053,0.3633
