patient,auc,auc_pr,sensitivity,specificity,f1,balanced_accuracy,fpr_per_hour
chb01,0.3145,0.5079,0.402,0.3073,0.4416,0.3546,249.3855
chb02,0.3423,0.3782,0.1993,0.5902,0.2413,0.3948,147.5229
chb03,0.5247,0.7072,0.6239,0.3972,0.6518,0.5105,217.0093
chb04,0.5,0.1468,1.0,0.0,0.2559,0.5,360.0
chb05,0.5391,0.6769,0.5113,0.5458,0.5783,0.5285,163.506
chb06,0.5157,0.1607,0.5882,0.45,0.2635,0.5191,197.9867
chb07,0.3379,0.1066,0.3843,0.365,0.1557,0.3746,228.6174
chb08,0.539,0.6137,0.8812,0.228,0.7227,0.5546,277.9065
chb09,0.5406,0.2278,0.5118,0.5352,0.3137,0.5235,167.333
chb10,0.5206,0.2815,0.6329,0.3798,0.3723,0.5064,223.2569
chb13,0.5176,0.5672,0.8018,0.2195,0.6742,0.5107,280.9756
chb14,0.5328,0.6259,0.1848,0.8382,0.286,0.5115,58.2456
chb15,0.5941,0.5867,0.475,0.6569,0.5371,0.566,123.5036
chb16,0.4857,0.7437,0.4438,0.5508,0.556,0.4973,161.6949
chb17,0.5661,0.6013,0.5811,0.5286,0.5844,0.5549,169.6875
chb18,0.5212,0.6524,0.2196,0.8239,0.3316,0.5217,63.4091
chb19,0.5501,0.5667,0.7838,0.2098,0.6034,0.4968,284.459
chb20,0.4811,0.6636,0.4661,0.5359,0.5504,0.501,167.0718
chb22,0.4694,0.445,0.5912,0.3673,0.5087,0.4793,227.7551
chb23,0.4848,0.291,0.5987,0.3741,0.3963,0.4864,225.3256
chb24,0.4959,0.4862,0.475,0.5096,0.4768,0.4923,176.5489
MEAN,0.494,0.478,0.5408,0.4482,0.4525,0.4945,198.6286
STD,0.0742,0.2009,0.2115,0.2009,0.1624,0.0552,72.3189
