patient_id,auc,auc_pr,sensitivity,specificity,precision,f1,balanced_accuracy,fpr_per_hour,threshold,alarm_K,alarm_M,refractory_windows,n_preictal,n_interictal,model
chb01,0.3992,0.5782,0.0034,1.0,1.0,0.0067,0.5017,0.0,0.48999999999999994,5,12,180,296,179,Correlation_CNN
chb02,0.5151,0.5421,0.0034,1.0,1.0,0.0067,0.5017,0.0,0.7699999999999999,5,12,180,296,327,Correlation_CNN
chb03,0.6305,0.7365,0.0023,1.0,1.0,0.0045,0.5011,0.0,0.84,5,12,180,444,214,Correlation_CNN
chb04,0.3533,0.1054,0.0,0.9977,0.0,0.0,0.4988,0.8367,0.7,5,12,180,296,1721,Correlation_CNN
chb05,0.4488,0.5733,0.0068,1.0,1.0,0.0134,0.5034,0.0,0.06,5,12,180,444,251,Correlation_CNN
chb06,0.3523,0.1165,0.0019,0.9974,0.125,0.0038,0.4997,0.9292,0.58,5,12,180,1037,5424,Correlation_CNN
chb07,0.4949,0.1494,0.0022,0.9976,0.1429,0.0044,0.4999,0.8682,0.62,5,12,180,445,2488,Correlation_CNN
chb08,0.5008,0.616,0.004,0.9981,0.75,0.0081,0.5011,0.6729,0.6,5,12,180,741,535,Correlation_CNN
chb09,0.4021,0.162,0.0034,0.9973,0.25,0.0067,0.5003,0.9682,0.82,5,12,180,592,2231,Correlation_CNN
chb10,0.5511,0.2624,0.0056,0.9972,0.4167,0.0111,0.5014,0.996,0.49999999999999994,5,12,180,888,2530,Correlation_CNN
chb13,0.4733,0.5617,0.0,1.0,0.0,0.0,0.5,0.0,0.94,5,12,180,444,328,Correlation_CNN
chb14,0.4787,0.6057,0.0039,0.9981,0.75,0.0077,0.501,0.7018,0.8799999999999999,5,12,180,774,513,Correlation_CNN
chb15,0.5297,0.5441,0.0094,1.0,1.0,0.0186,0.5047,0.0,0.19,5,12,180,320,274,Correlation_CNN
chb16,0.7376,0.9013,0.0086,1.0,1.0,0.0171,0.5043,0.0,0.63,5,12,180,347,118,Correlation_CNN
chb17,0.5833,0.6372,0.0068,1.0,1.0,0.0134,0.5034,0.0,0.63,5,12,180,444,384,Correlation_CNN
chb18,0.5328,0.6418,0.0017,1.0,1.0,0.0034,0.5008,0.0,0.8599999999999999,5,12,180,592,352,Correlation_CNN
chb19,0.6521,0.6898,0.0068,1.0,1.0,0.0134,0.5034,0.0,0.58,5,12,180,296,305,Correlation_CNN
chb20,0.4907,0.6794,0.0027,1.0,1.0,0.0054,0.5014,0.0,0.35999999999999993,5,12,180,369,181,Correlation_CNN
chb22,0.3845,0.3843,0.0,1.0,0.0,0.0,0.5,0.0,0.6799999999999999,5,12,180,296,343,Correlation_CNN
chb23,0.3901,0.2495,0.0033,0.9978,0.4,0.0065,0.5006,0.7815,0.69,5,12,180,608,1382,Correlation_CNN
chb24,0.5352,0.5498,0.0021,0.998,0.5,0.0042,0.5001,0.7265,0.7699999999999999,5,12,180,939,991,Correlation_CNN
