patient,model,auc,auc_pr,threshold,sens_window,fpr_h_window,sens_alarm,fpr_h_alarm
chb01,Correlation_CNN,0.3992,0.5782,0.48999999999999994,0.48986486486486486,215.19553072625698,0.0034,0.0
chb02,Correlation_CNN,0.5151,0.5421,0.7699999999999999,0.24662162162162163,48.440366972477065,0.0034,0.0
chb03,Correlation_CNN,0.6305,0.7365,0.84,0.7364864864864865,210.2803738317757,0.0023,0.0
chb04,Correlation_CNN,0.3533,0.1054,0.7,0.013513513513513514,6.275421266705403,0.0,0.8367
chb05,Correlation_CNN,0.4488,0.5733,0.06,0.006756756756756757,1.4342629482071714,0.0068,0.0
chb06,Correlation_CNN,0.3523,0.1165,0.58,0.01253616200578592,6.504424778761062,0.0019,0.9292
chb07,Correlation_CNN,0.4949,0.1494,0.62,0.3887640449438202,125.59485530546623,0.0022,0.8682
chb08,Correlation_CNN,0.5008,0.616,0.6,0.659919028340081,222.05607476635512,0.004,0.6729
chb09,Correlation_CNN,0.4021,0.162,0.82,0.910472972972973,318.8525324966383,0.0034,0.9682
chb10,Correlation_CNN,0.5511,0.2624,0.49999999999999994,0.9031531531531531,291.84189723320156,0.0056,0.996
chb13,Correlation_CNN,0.4733,0.5617,0.94,0.21846846846846846,74.63414634146342,0.0,0.0
chb14,Correlation_CNN,0.4787,0.6057,0.8799999999999999,0.10465116279069768,35.08771929824561,0.0039,0.7018
chb15,Correlation_CNN,0.5297,0.5441,0.19,0.875,243.06569343065695,0.0094,0.0
chb16,Correlation_CNN,0.7376,0.9013,0.63,0.7175792507204611,195.25423728813558,0.0086,0.0
chb17,Correlation_CNN,0.5833,0.6372,0.63,0.7004504504504504,208.125,0.0068,0.0
chb18,Correlation_CNN,0.5328,0.6418,0.8599999999999999,0.8344594594594594,279.20454545454544,0.0017,0.0
chb19,Correlation_CNN,0.6521,0.6898,0.58,0.3614864864864865,53.114754098360656,0.0068,0.0
chb20,Correlation_CNN,0.4907,0.6794,0.35999999999999993,0.15718157181571815,43.75690607734807,0.0027,0.0
chb22,Correlation_CNN,0.3845,0.3843,0.6799999999999999,0.7905405405405406,313.8192419825073,0.0,0.0
chb23,Correlation_CNN,0.3901,0.2495,0.69,0.9786184210526315,355.57163531114327,0.0033,0.7815
chb24,Correlation_CNN,0.5352,0.5498,0.7699999999999999,0.45580404685835996,141.31180625630677,0.0021,0.7265
