patient,auc,auc_pr,sensitivity,specificity,f1,balanced_accuracy,fpr_per_hour
chb01,0.5502,0.1974,0.0,0.9993,0.0,0.4997,0.2432
chb02,0.527,0.2398,0.0068,1.0,0.0134,0.5034,0.0
chb03,0.3461,0.1204,0.0,1.0,0.0,0.5,0.0
chb04,0.4025,0.1376,0.0034,0.9959,0.0066,0.4997,1.4595
chb05,0.4222,0.1389,0.0045,0.995,0.0088,0.4998,1.7838
chb06,0.4616,0.156,0.0019,0.9942,0.0037,0.4981,2.088
chb07,0.7089,0.2912,0.0045,0.9996,0.0089,0.502,0.1618
chb08,0.5913,0.5225,0.0013,0.99,0.0027,0.4957,3.6161
chb09,0.5554,0.1892,0.0,0.9993,0.0,0.4997,0.2432
chb10,0.5595,0.1916,0.0,1.0,0.0,0.5,0.0
chb13,0.5034,0.1774,0.0,0.9941,0.0,0.4971,2.1081
chb14,0.5271,0.3049,0.0,0.9995,0.0,0.4998,0.1696
chb15,0.3406,0.1196,0.0,1.0,0.0,0.5,0.0
chb16,0.4653,0.1538,0.0029,0.9937,0.0056,0.4983,2.2824
chb17,0.6691,0.2438,0.0023,0.9991,0.0045,0.5007,0.3243
chb18,0.4552,0.1524,0.0017,0.997,0.0033,0.4993,1.0946
chb19,0.841,0.5163,0.0034,1.0,0.0067,0.5017,0.0
chb20,0.2313,0.1036,0.0,0.9995,0.0,0.4997,0.1951
chb22,0.6783,0.2769,0.0068,0.9959,0.0132,0.5014,1.4595
chb23,0.6783,0.2631,0.0066,0.9947,0.0127,0.5007,1.8947
chb24,0.4565,0.3278,0.0032,0.9941,0.0063,0.4986,2.1378
MEAN,0.5224,0.2297,0.0023,0.9972,0.0046,0.4998,1.0125
STD,0.1421,0.1165,0.0024,0.003,0.0047,0.0017,1.0649
