patient,auc,auc_pr,sensitivity,specificity,f1,balanced_accuracy,fpr_per_hour
chb01,0.4699,0.6296,0.2297,0.7765,0.3366,0.5031,80.4469
chb02,0.4721,0.4578,0.2196,0.7676,0.2975,0.4936,83.6697
chb03,0.524,0.6713,0.6216,0.4346,0.6564,0.5281,203.5514
chb04,0.4031,0.118,0.1453,0.749,0.1115,0.4471,90.3661
chb05,0.4821,0.6457,0.1306,0.9044,0.2205,0.5175,34.4223
chb06,0.5011,0.1586,0.4426,0.5369,0.229,0.4897,166.7257
chb07,0.4918,0.1512,0.4045,0.5828,0.2165,0.4936,150.1929
chb08,0.5015,0.5846,0.4656,0.5589,0.5219,0.5122,158.8037
chb09,0.4811,0.19,0.5338,0.4536,0.2971,0.4937,196.701
chb10,0.5387,0.2647,0.5034,0.5814,0.3734,0.5424,150.6877
chb13,0.5102,0.5728,0.5811,0.4665,0.5884,0.5238,192.0732
chb14,0.4732,0.5863,0.7261,0.2398,0.6512,0.4829,273.6842
chb15,0.4697,0.4909,0.4406,0.4964,0.4708,0.4685,181.3139
chb16,0.4891,0.7215,0.6282,0.3814,0.6834,0.5048,222.7119
chb17,0.5756,0.5843,0.6059,0.5521,0.6079,0.579,161.25
chb18,0.4762,0.5959,0.4797,0.4915,0.5384,0.4856,183.0682
chb19,0.5873,0.554,0.8277,0.2984,0.649,0.563,252.5902
chb20,0.4622,0.6537,0.187,0.7624,0.2869,0.4747,85.5249
chb22,0.4088,0.425,0.2331,0.6939,0.2936,0.4635,110.2041
chb23,0.457,0.2789,0.4128,0.5166,0.3287,0.4647,174.0087
chb24,0.5618,0.5545,0.6528,0.445,0.5833,0.5489,199.7982
MEAN,0.4922,0.4709,0.451,0.5567,0.4258,0.5038,159.6093
STD,0.0468,0.1945,0.1987,0.1684,0.1792,0.0344,60.6203
