patient,model,n_seizures,auc_mean,auc_pr_mean,sens_mean,sens_event,fpr_h_mean
chb01,LR,2,0.70455,0.534,0.0068,1.0,0.40405
chb02,LR,2,0.40945,0.4709,0.0034,0.5,2.4748
chb03,LR,3,0.32763333333333333,0.4520666666666666,0.0022666666666666664,0.3333333333333333,1.3510333333333333
chb04,LR,2,0.22790000000000002,0.1772,0.0034,0.5,0.6671
chb05,LR,3,0.3925,0.46730000000000005,0.004533333333333333,0.6666666666666666,0.3149666666666667
chb06,LR,7,0.576542857142857,0.2784857142857143,0.0038714285714285712,0.5714285714285714,0.5409142857142858
chb07,LR,3,0.6124666666666667,0.28013333333333335,0.0022666666666666664,0.3333333333333333,0.5532666666666667
chb08,LR,5,0.47744,0.5788599999999999,0.0013599999999999999,0.2,0.0
chb09,LR,4,0.40260000000000007,0.291825,0.0017,0.25,0.299875
chb10,LR,6,0.6212000000000001,0.42449999999999993,0.0034,0.5,0.6414833333333333
chb13,LR,3,0.5558333333333333,0.5304333333333333,0.0022666666666666664,0.3333333333333333,0.5286333333333334
chb14,LR,6,0.35486666666666666,0.5515166666666668,0.0022666666666666664,0.3333333333333333,0.19736666666666666
chb15,LR,3,0.34106666666666663,0.18763333333333332,0.0,0.0,1.3516333333333332
chb16,LR,3,0.2601333333333333,0.34896666666666665,0.0,0.0,1.0212666666666668
chb17,LR,3,0.5538333333333334,0.6335333333333334,0.0068,1.0,1.5553666666666668
chb18,LR,4,0.6042250000000001,0.704225,0.0050999999999999995,0.75,1.363625
chb19,LR,2,0.67195,0.6148,0.0068,1.0,1.1111
chb20,LR,3,0.4570666666666667,0.5218333333333334,0.0,0.0,1.0714333333333335
chb22,LR,2,0.36419999999999997,0.3931,0.0,0.0,0.0
chb23,LR,5,0.650475,0.486275,0.0017,0.25,0.203625
chb24,LR,7,0.6383142857142857,0.5536000000000001,0.0019428571428571427,0.2857142857142857,0.12362857142857142
