patient,model,auc,auc_pr,threshold,sens_window,fpr_h_window,sens_alarm,fpr_h_alarm
chb01,SVM,0.2701,0.1109,0.33999999999999997,0.8614864864864865,307.21621621621625,0.0,0.7297
chb02,SVM,0.3323,0.1174,0.20999999999999996,0.902027027027027,282.1621621621622,0.0,0.973
chb03,SVM,0.4477,0.2679,0.15999999999999998,0.26126126126126126,61.945945945945944,0.0023,0.973
chb04,SVM,0.507,0.1531,0.16999999999999998,0.7027027027027027,168.81081081081084,0.0,0.973
chb05,SVM,0.5335,0.2098,0.25999999999999995,0.7635135135135135,247.78378378378378,0.0045,0.973
chb06,SVM,0.4988,0.1573,0.35999999999999993,0.4734811957569913,154.512,0.0029,0.72
chb07,SVM,0.5673,0.2074,0.19999999999999996,0.8606741573033708,275.5415730337079,0.0045,0.9708
chb08,SVM,0.6048,0.1807,0.30999999999999994,0.9082321187584346,246.70445344129556,0.0,0.7773
chb09,SVM,0.4016,0.143,0.13999999999999999,0.5777027027027027,247.9864864864865,0.0017,0.8514
chb10,SVM,0.6798,0.2881,0.09999999999999999,0.48873873873873874,107.02702702702702,0.0045,0.973
chb13,SVM,0.5678,0.1798,0.21999999999999997,0.8445945945945946,255.24324324324323,0.0045,0.973
chb14,SVM,0.6506,0.2317,0.12,0.7571059431524548,232.5581395348837,0.0052,0.9302
chb15,SVM,0.4228,0.2286,0.19,0.2875,85.725,0.0031,0.9
chb16,SVM,0.5901,0.3616,0.38999999999999996,0.4438040345821326,92.95677233429394,0.0029,0.0
chb17,SVM,0.6625,0.3425,0.38999999999999996,0.6666666666666666,175.13513513513513,0.0045,0.973
chb18,SVM,0.3728,0.1447,0.3999999999999999,0.03209459459459459,8.391891891891893,0.0034,0.973
chb19,SVM,0.573,0.2814,0.16999999999999998,0.4831081081081081,139.86486486486487,0.0034,0.2432
chb20,SVM,0.2244,0.1026,0.25999999999999995,0.0,0.0,0.0,0.9756
chb22,SVM,0.626,0.2083,0.26999999999999996,0.8074324324324325,223.29729729729732,0.0034,0.973
chb23,SVM,0.6443,0.2051,0.22999999999999998,0.8536184210526315,256.0263157894737,0.0016,0.8289
chb24,SVM,0.3533,0.1375,0.30999999999999994,0.004259850905218318,1.3311763346429397,0.0021,0.9152
