patient,auc,auc_pr,sensitivity,specificity,precision,f1,balanced_accuracy,fpr_per_hour,best_hp
chb01,0.7670971357085146,0.48326515990243785,0.7128378378378378,0.7483124397299904,0.4470338983050847,0.5494791666666666,0.7305751387839141,90.60752169720347,"{""clf__C"": 0.1}"
chb02,0.4497329187594674,0.45769520808735165,0.9459459459459459,0.0943952802359882,0.47700170357751276,0.6342015855039638,0.5201706130909671,326.01769911504425,"{""clf__C"": 0.1}"
chb03,0.4674688592931085,0.30558666608832663,0.26126126126126126,0.7552836484983315,0.34523809523809523,0.29743589743589743,0.5082724548797963,88.09788654060067,"{""clf__C"": 1.0}"
chb04,0.4106715668371074,0.15812151258725654,0.08783783783783784,0.9445945945945946,0.24074074074074073,0.12871287128712872,0.5162162162162163,19.945945945945947,"{""clf__C"": 0.1}"
chb05,0.5705976595151853,0.4969586829911329,0.3783783783783784,0.7646048109965635,0.5508196721311476,0.44859813084112155,0.571491594687471,84.74226804123711,"{""clf__C"": 0.1}"
chb06,0.6007411764705883,0.22178966553112311,0.6499517839922855,0.5022,0.2130888397091369,0.32095238095238093,0.5760758919961427,179.208,"{""clf__C"": 0.1}"
chb07,0.5755990405251862,0.19517131439140945,0.7438202247191011,0.39955056179775283,0.1985602879424115,0.31344696969696967,0.5716853932584269,216.161797752809,"{""clf__C"": 0.1}"
chb08,0.6998524348253812,0.7408150935960396,0.8245614035087719,0.4822429906542056,0.6880630630630631,0.7501534683855126,0.6534021970814887,186.39252336448598,"{""clf__C"": 0.1}"
chb09,0.6201103613698863,0.2862460601912342,0.7820945945945946,0.40923352756611386,0.25996631106120155,0.39022334597555836,0.5956640610803543,212.67593007619902,"{""clf__C"": 0.1}"
chb10,0.7258870357947759,0.45732569052570543,0.6880630630630631,0.6854996734160679,0.38818297331639134,0.4963444354183591,0.6867813682395655,113.22011757021554,"{""clf__C"": 0.1}"
chb13,0.707766108241293,0.48400115952608813,0.7905405405405406,0.5258711721224921,0.43875,0.5643086816720257,0.6582058563315163,170.68637803590286,"{""clf__C"": 0.1}"
chb14,0.5952254681816984,0.6046312089270287,0.7751937984496124,0.388646288209607,0.5882352941176471,0.6688963210702341,0.5819200433296097,220.08733624454146,"{""clf__C"": 0.1}"
chb15,0.575908203125,0.20676984699258943,0.746875,0.393125,0.1975206611570248,0.31241830065359477,0.57,218.475,"{""clf__C"": 0.1}"
chb16,0.36607022815088475,0.3349375474108618,0.0,1.0,0.0,0.0,0.5,0.0,"{""clf__C"": 0.1}"
chb17,0.5164842576951952,0.532633853776628,0.8445945945945946,0.2552083333333333,0.56732223903177,0.6787330316742082,0.549901463963964,268.125,"{""clf__C"": 0.1}"
chb18,0.608973243629896,0.5374497053611715,0.5726351351351351,0.6251788268955651,0.5640599001663894,0.5683151718357083,0.5989069810153501,134.93562231759657,"{""clf__C"": 0.1}"
chb19,0.5078378378378379,0.3715812774030108,0.7567567567567568,0.32210526315789473,0.41025641025641024,0.5320665083135391,0.5394310099573257,244.0421052631579,"{""clf__C"": 0.1}"
chb20,0.6229017514055737,0.5566084425363598,0.5311653116531165,0.6772388059701493,0.5311653116531165,0.5311653116531165,0.6042020588116329,116.19402985074626,"{""clf__C"": 0.1}"
chb22,0.4392352879194985,0.32076249183016003,0.0,1.0,0.0,0.0,0.5,0.0,"{""clf__C"": 0.1}"
chb23,0.4360766242668901,0.26137928423156015,1.0,0.000723589001447178,0.30568124685771747,0.46823257604928764,0.5003617945007236,359.739507959479,"{""clf__C"": 0.1}"
chb24,0.6292791391256175,0.4204085621192972,0.9254526091586794,0.32066508313539194,0.43169398907103823,0.5887533875338753,0.6230588461470357,244.5605700712589,"{""clf__C"": 0.1}"
MEAN,0.5664,0.4016,0.6199,0.5378,0.3735,0.4401,0.5789,166.3769,
STD,0.1105,0.1535,0.3024,0.2763,0.1875,0.2102,0.0646,99.4601,
