patient,auc,auc_pr,sensitivity,specificity,precision,f1,balanced_accuracy,fpr_per_hour,best_hp
chb01,0.7338313482238265,0.42501651947996366,0.7195945945945946,0.6538090646094503,0.3723776223776224,0.49078341013824883,0.6867018296020224,1.3886210221793636,"{""clf__colsample_bytree"": 1.0, ""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__reg_lambda"": 5.0, ""clf__subsample"": 0.7}"
chb02,0.4745874192776848,0.4868753684321063,0.33783783783783783,0.7109144542772862,0.5050505050505051,0.4048582995951417,0.524376146057562,2.1238938053097347,"{""clf__colsample_bytree"": 0.7, ""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__reg_lambda"": 1.0, ""clf__subsample"": 0.7}"
chb03,0.5411668620789866,0.33546549603021025,0.6193693693693694,0.48053392658509453,0.3706199460916442,0.463743676222597,0.549951647977232,2.402669632925473,"{""clf__colsample_bytree"": 0.7, ""clf__learning_rate"": 0.05, ""clf__max_depth"": 3, ""clf__reg_lambda"": 5.0, ""clf__subsample"": 0.7}"
chb04,0.3643512600438276,0.13105423782851003,1.0,0.006756756756756757,0.16761041902604756,0.28709990300678956,0.5033783783783784,1.945945945945946,"{""clf__colsample_bytree"": 1.0, ""clf__learning_rate"": 0.05, ""clf__max_depth"": 3, ""clf__reg_lambda"": 5.0, ""clf__subsample"": 0.7}"
chb05,0.5752995263304541,0.5648620497154003,0.3716216216216216,0.8178694158075601,0.6088560885608856,0.4615384615384615,0.5947455187145909,1.2371134020618557,"{""clf__colsample_bytree"": 1.0, ""clf__learning_rate"": 0.05, ""clf__max_depth"": 5, ""clf__reg_lambda"": 5.0, ""clf__subsample"": 0.7}"
chb06,0.5289193828351013,0.1817043683169452,0.6345226615236258,0.4394,0.19011846287200232,0.29257447754557586,0.5369613307618128,1.944,"{""clf__colsample_bytree"": 1.0, ""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__reg_lambda"": 1.0, ""clf__subsample"": 1.0}"
chb07,0.4981209443252115,0.15985746566681514,0.8966292134831461,0.14337078651685392,0.17310195227765726,0.29018181818181815,0.52,1.9415730337078652,"{""clf__colsample_bytree"": 0.7, ""clf__learning_rate"": 0.05, ""clf__max_depth"": 5, ""clf__reg_lambda"": 5.0, ""clf__subsample"": 1.0}"
chb08,0.6126250204951632,0.6464351392196589,0.9014844804318488,0.2953271028037383,0.6392344497607656,0.748040313549832,0.5984057916177936,2.691588785046729,"{""clf__colsample_bytree"": 1.0, ""clf__learning_rate"": 0.05, ""clf__max_depth"": 3, ""clf__reg_lambda"": 5.0, ""clf__subsample"": 0.7}"
chb09,0.6355818503398064,0.3305483877157306,0.4983108108108108,0.7180636485880771,0.31926406926406925,0.38918205804749334,0.6081872296994439,1.4522635589421784,"{""clf__colsample_bytree"": 1.0, ""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__reg_lambda"": 1.0, ""clf__subsample"": 0.7}"
chb10,0.6608109579206901,0.3294818657306911,0.6925675675675675,0.5476812540822992,0.3075,0.4259002770083102,0.6201244108249333,1.528412802090137,"{""clf__colsample_bytree"": 0.7, ""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__reg_lambda"": 1.0, ""clf__subsample"": 1.0}"
chb13,0.6853244479960426,0.47810530496415776,0.7680180180180181,0.515311510031679,0.42625,0.5482315112540193,0.6416647640248485,1.900739176346357,"{""clf__colsample_bytree"": 1.0, ""clf__learning_rate"": 0.05, ""clf__max_depth"": 3, ""clf__reg_lambda"": 5.0, ""clf__subsample"": 0.7}"
chb14,0.5917463111532372,0.6018104986870095,0.7286821705426356,0.4148471615720524,0.5838509316770186,0.6482758620689655,0.571764666057344,3.1441048034934496,"{""clf__colsample_bytree"": 0.7, ""clf__learning_rate"": 0.05, ""clf__max_depth"": 3, ""clf__reg_lambda"": 5.0, ""clf__subsample"": 1.0}"
chb15,0.505865234375,0.16875869113690564,0.359375,0.695625,0.19102990033222592,0.24945770065075923,0.5275000000000001,2.025,"{""clf__colsample_bytree"": 1.0, ""clf__learning_rate"": 0.05, ""clf__max_depth"": 3, ""clf__reg_lambda"": 5.0, ""clf__subsample"": 0.7}"
