patient,auc,auc_pr,sensitivity,specificity,precision,f1,balanced_accuracy,fpr_per_hour,best_hp
chb01,0.5154209778727619,0.2218211634166354,0.38513513513513514,0.6962391513982642,0.26573426573426573,0.31448275862068964,0.5406871432666996,1.7357762777242045,"{""clf__colsample_bytree"": 1.0, ""clf__learning_rate"": 0.1, ""clf__max_depth"": 5, ""clf__reg_lambda"": 1.0, ""clf__subsample"": 0.7}"
chb02,0.4870844295623057,0.4927561976401647,0.2972972972972973,0.7610619469026548,0.5207100591715976,0.37849462365591396,0.529179622099976,2.1238938053097347,"{""clf__colsample_bytree"": 0.7, ""clf__learning_rate"": 0.05, ""clf__max_depth"": 3, ""clf__reg_lambda"": 1.0, ""clf__subsample"": 0.7}"
chb03,0.4386004469430499,0.29960698321826307,0.0045045045045045045,0.996662958843159,0.4,0.008908685968819599,0.5005837316738317,0.0,"{""clf__colsample_bytree"": 0.7, ""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__reg_lambda"": 1.0, ""clf__subsample"": 1.0}"
chb04,0.3222219685902118,0.11494270538602239,1.0,0.0006756756756756757,0.1667605633802817,0.2858522452921294,0.5003378378378378,1.945945945945946,"{""clf__colsample_bytree"": 0.7, ""clf__learning_rate"": 0.1, ""clf__max_depth"": 5, ""clf__reg_lambda"": 1.0, ""clf__subsample"": 0.7}"
chb05,0.5135870406488963,0.44220394288163317,0.7792792792792793,0.27319587628865977,0.44993498049414826,0.5704863973619126,0.5262375777839695,2.4742268041237114,"{""clf__colsample_bytree"": 1.0, ""clf__learning_rate"": 0.1, ""clf__max_depth"": 5, ""clf__reg_lambda"": 5.0, ""clf__subsample"": 1.0}"
chb06,0.48239054966248796,0.1607212619264505,0.9151398264223722,0.099,0.174000733406674,0.29240486827915574,0.5070699132111861,2.16,"{""clf__colsample_bytree"": 1.0, ""clf__learning_rate"": 0.1, ""clf__max_depth"": 5, ""clf__reg_lambda"": 5.0, ""clf__subsample"": 0.7}"
chb07,0.3769695745486681,0.1281073992386042,1.0,0.003146067415730337,0.167104769057454,0.28635778635778636,0.5015730337078652,1.9415730337078652,"{""clf__colsample_bytree"": 1.0, ""clf__learning_rate"": 0.1, ""clf__max_depth"": 5, ""clf__reg_lambda"": 5.0, ""clf__subsample"": 1.0}"
chb08,0.6057336007163848,0.6441401158854694,0.7827260458839406,0.405607476635514,0.6458797327394209,0.7077486272117145,0.5941667612597272,3.364485981308411,"{""clf__colsample_bytree"": 1.0, ""clf__learning_rate"": 0.1, ""clf__max_depth"": 5, ""clf__reg_lambda"": 5.0, ""clf__subsample"": 1.0}"
chb09,0.4651524283135668,0.19515367044729703,0.013513513513513514,0.994621246077992,0.4,0.026143790849673203,0.5040673797957528,0.0,"{""clf__colsample_bytree"": 0.7, ""clf__learning_rate"": 0.1, ""clf__max_depth"": 5, ""clf__reg_lambda"": 5.0, ""clf__subsample"": 1.0}"
chb10,0.5887872482214416,0.2775062851654988,0.5540540540540541,0.5943827563683867,0.2837370242214533,0.37528604118993136,0.5742184052112204,1.8811234487263224,"{""clf__colsample_bytree"": 0.7, ""clf__learning_rate"": 0.1, ""clf__max_depth"": 5, ""clf__reg_lambda"": 1.0, ""clf__subsample"": 1.0}"
chb13,0.6037034922990572,0.3868106933274559,0.7072072072072072,0.4825765575501584,0.39054726368159204,0.5032051282051282,0.5948918823786828,1.900739176346357,"{""clf__colsample_bytree"": 0.7, ""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__reg_lambda"": 1.0, ""clf__subsample"": 1.0}"
chb14,0.5315286851795433,0.5487425099153327,0.4082687338501292,0.6622998544395924,0.5766423357664233,0.4780635400907715,0.5352842941448608,2.6200873362445414,"{""clf__colsample_bytree"": 0.7, ""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__reg_lambda"": 5.0, ""clf__subsample"": 1.0}"
chb15,0.53887890625,0.16959473579557305,0.9375,0.181875,0.18645121193287756,0.3110419906687403,0.5596875,2.025,"{""clf__colsample_bytree"": 0.7, ""clf__learning_rate"": 0.1, ""clf__max_depth"": 5, ""clf__reg_lambda"": 5.0, ""clf__subsample"": 0.7}"
