patient,auc,auc_pr,sensitivity,specificity,precision,f1,balanced_accuracy,fpr_per_hour,best_hp
chb01,0.6649834501811358,0.3905194580612339,0.7466216216216216,0.5139826422372228,0.30482758620689654,0.4329089128305582,0.6303021319294222,1.7357762777242045,"{""clf__colsample_bytree"": 1.0, ""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__reg_lambda"": 5.0, ""clf__subsample"": 0.7}"
chb02,0.5063581280395439,0.49915379840295016,0.2635135135135135,0.8348082595870207,0.582089552238806,0.3627906976744186,0.5491608865502671,1.0619469026548674,"{""clf__colsample_bytree"": 0.7, ""clf__learning_rate"": 0.05, ""clf__max_depth"": 5, ""clf__reg_lambda"": 5.0, ""clf__subsample"": 1.0}"
chb03,0.43971279399533014,0.28545602420955896,1.0,0.011123470522803115,0.33308327081770445,0.49971862689926844,0.5055617352614016,2.803114571746385,"{""clf__colsample_bytree"": 0.7, ""clf__learning_rate"": 0.05, ""clf__max_depth"": 5, ""clf__reg_lambda"": 5.0, ""clf__subsample"": 1.0}"
chb04,0.540300858290723,0.17365530047537292,0.8344594594594594,0.2662162162162162,0.18529632408102026,0.30325352977286685,0.5503378378378379,1.945945945945946,"{""clf__colsample_bytree"": 0.7, ""clf__learning_rate"": 0.05, ""clf__max_depth"": 3, ""clf__reg_lambda"": 5.0, ""clf__subsample"": 1.0}"
chb05,0.49104516888022043,0.44435445136830776,0.11036036036036036,0.9209621993127147,0.5157894736842106,0.18181818181818182,0.5156612798365375,0.6185567010309279,"{""clf__colsample_bytree"": 1.0, ""clf__learning_rate"": 0.1, ""clf__max_depth"": 5, ""clf__reg_lambda"": 5.0, ""clf__subsample"": 1.0}"
chb06,0.5533137897782063,0.19850090903001225,0.6219864995178399,0.4626,0.19357743097238894,0.2952620737010757,0.5422932497589199,1.8719999999999999,"{""clf__colsample_bytree"": 1.0, ""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__reg_lambda"": 5.0, ""clf__subsample"": 0.7}"
chb07,0.4718868829693221,0.1548626192845192,0.0022471910112359553,0.9982022471910112,0.2,0.0044444444444444444,0.5002247191011236,0.0,"{""clf__colsample_bytree"": 1.0, ""clf__learning_rate"": 0.05, ""clf__max_depth"": 5, ""clf__reg_lambda"": 5.0, ""clf__subsample"": 0.7}"
chb08,0.5968115832355871,0.6261034430407346,0.8623481781376519,0.30093457943925234,0.6307996051332675,0.7286202964652224,0.5816413787884521,2.0186915887850465,"{""clf__colsample_bytree"": 0.7, ""clf__learning_rate"": 0.05, ""clf__max_depth"": 3, ""clf__reg_lambda"": 5.0, ""clf__subsample"": 1.0}"
chb09,0.5423281585036404,0.2336140328252501,0.6047297297297297,0.48498431196772745,0.23755806237558064,0.34111481657932347,0.5448570208487286,1.7749887942626625,"{""clf__colsample_bytree"": 0.7, ""clf__learning_rate"": 0.1, ""clf__max_depth"": 5, ""clf__reg_lambda"": 1.0, ""clf__subsample"": 1.0}"
chb10,0.549486660076144,0.2417393104872105,0.7252252252252253,0.375898105813194,0.25205479452054796,0.37409236131280865,0.5505616655192096,2.116263879817113,"{""clf__colsample_bytree"": 1.0, ""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__reg_lambda"": 1.0, ""clf__subsample"": 0.7}"
chb13,0.6609801459326274,0.46063836668205727,0.5923423423423423,0.6378035902851109,0.43399339933993397,0.5009523809523809,0.6150729663137267,1.5205913410770855,"{""clf__colsample_bytree"": 0.7, ""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__reg_lambda"": 5.0, ""clf__subsample"": 1.0}"
chb14,0.520762104645521,0.5498988797010921,0.7428940568475452,0.29985443959243085,0.5445075757575758,0.6284153005464481,0.521374248219988,3.1441048034934496,"{""clf__colsample_bytree"": 0.7, ""clf__learning_rate"": 0.05, ""clf__max_depth"": 5, ""clf__reg_lambda"": 1.0, ""clf__subsample"": 0.7}"
chb15,0.52898828125,0.16600936872934077,0.865625,0.250625,0.18766937669376693,0.3084632516703786,0.558125,2.025,"{""clf__colsample_bytree"": 0.7, ""clf__learning_rate"": 0.05, ""clf__max_depth"": 5, ""clf__reg_lambda"": 5.0, ""clf__subsample"": 0.7}"
chb16,0.34952154368653954,0.3289784136149118,0.0,1.0,0.0,0.0,0.5,0.0,"{""clf__colsample_bytree"": 1.0, ""clf__learning_rate"": 0.05, ""clf__max_depth"": 5, ""clf__reg_lambda"": 5.0, ""clf__subsample"": 0.7}"
chb17,0.4526440503003003,0.49181170452027156,1.0,0.0026041666666666665,0.5368802902055623,0.6986624704956726,0.5013020833333334,1.875,"{""clf__colsample_bytree"": 0.7, ""clf__learning_rate"": 0.1, ""clf__max_depth"": 5, ""clf__reg_lambda"": 5.0, ""clf__subsample"": 0.7}"
chb18,0.49601506012450225,0.45443128312497516,0.9679054054054054,0.06437768240343347,0.4669926650366748,0.6300164925783398,0.5161415439044195,2.575107296137339,"{""clf__colsample_bytree"": 0.7, ""clf__learning_rate"": 0.05, ""clf__max_depth"": 3, ""clf__reg_lambda"": 5.0, ""clf__subsample"": 1.0}"
chb19,0.5415504978662873,0.40628253720821694,0.5472972972972973,0.5684210526315789,0.44141689373297005,0.4886877828054299,0.5578591749644382,2.2736842105263158,"{""clf__colsample_bytree"": 0.7, ""clf__learning_rate"": 0.05, ""clf__max_depth"": 5, ""clf__reg_lambda"": 5.0, ""clf__subsample"": 1.0}"
chb20,0.5435500343809408,0.4529267066764549,0.33604336043360433,0.7593283582089553,0.4901185770750988,0.39871382636655944,0.5476858593212798,1.3432835820895521,"{""clf__colsample_bytree"": 1.0, ""clf__learning_rate"": 0.1, ""clf__max_depth"": 5, ""clf__reg_lambda"": 1.0, ""clf__subsample"": 1.0}"
chb22,0.44001896633475585,0.3409887000229445,0.02027027027027027,0.9941520467836257,0.6666666666666666,0.03934426229508197,0.507211158526948,0.0,"{""clf__colsample_bytree"": 1.0, ""clf__learning_rate"": 0.1, ""clf__max_depth"": 5, ""clf__reg_lambda"": 5.0, ""clf__subsample"": 1.0}"
chb23,0.4658342219514052,0.2735067423821533,0.9194078947368421,0.10347322720694646,0.31090100111234703,0.4646716541978387,0.5114405609718943,2.3444283646888566,"{""clf__colsample_bytree"": 1.0, ""clf__learning_rate"": 0.05, ""clf__max_depth"": 5, ""clf__reg_lambda"": 5.0, ""clf__subsample"": 0.7}"
chb24,0.5943073821394874,0.4375161280572262,0.8839190628328009,0.24762470308788598,0.39580352885073916,0.546772068511199,0.5657718829603434,2.137767220902613,"{""clf__colsample_bytree"": 1.0, ""clf__learning_rate"": 0.05, ""clf__max_depth"": 5, ""clf__reg_lambda"": 5.0, ""clf__subsample"": 1.0}"
MEAN,0.5214,0.3624,0.6022,0.4809,0.3767,0.3918,0.5416,1.6755,
STD,0.074,0.1364,0.3442,0.3336,0.1758,0.2102,0.0364,0.8918,
