patient_id,auc,auc_pr,sensitivity,specificity,precision,f1,balanced_accuracy,fpr_per_hour,threshold,alarm_K,alarm_M,refractory_windows,n_preictal,n_interictal,model
chb01,0.8157,0.5685,0.0068,0.9981,0.5,0.0133,0.5024,0.6943,0.41999999999999993,5,12,180,296,1037,LR
chb02,0.4707,0.5093,0.0034,1.0,1.0,0.0067,0.5017,0.0,0.6799999999999999,5,12,180,296,339,LR
chb03,0.4789,0.3459,0.0023,0.9978,0.3333,0.0045,0.5,0.8009,0.5599999999999999,5,12,180,444,899,LR
chb04,0.3608,0.1216,0.0068,0.9973,0.3333,0.0132,0.502,0.973,0.36999999999999994,5,12,180,296,1480,LR
chb05,0.5441,0.4312,0.0023,0.9983,0.5,0.0045,0.5003,0.6186,0.6399999999999999,5,12,180,444,582,LR
chb06,0.5939,0.2204,0.0019,0.9978,0.1538,0.0038,0.4999,0.792,0.62,5,12,180,1037,5000,LR
chb07,0.5194,0.1583,0.0022,0.9978,0.1667,0.0044,0.5,0.809,0.6399999999999999,5,12,180,445,2225,LR
chb08,0.7136,0.7673,0.0054,1.0,1.0,0.0107,0.5027,0.0,0.7899999999999999,5,12,180,741,535,LR
chb09,0.5243,0.2094,0.0017,0.9973,0.1429,0.0033,0.4995,0.9682,0.57,5,12,180,592,2231,LR
chb10,0.7957,0.4391,0.0068,0.9974,0.4286,0.0133,0.5021,0.9406,0.8499999999999999,5,12,180,888,3062,LR
chb13,0.665,0.4464,0.0045,0.9979,0.5,0.0089,0.5012,0.7603,0.74,5,12,180,444,947,LR
chb14,0.6716,0.7027,0.0039,0.9985,0.75,0.0077,0.5012,0.524,0.5099999999999999,5,12,180,774,687,LR
chb15,0.6698,0.2517,0.0031,0.9975,0.2,0.0062,0.5003,0.9,0.6499999999999999,5,12,180,320,1600,LR
chb16,0.3744,0.3299,0.0029,0.998,0.5,0.0057,0.5004,0.7302,0.69,5,12,180,347,493,LR
chb17,0.5083,0.5117,0.0068,0.9974,0.75,0.0134,0.5021,0.9375,0.5199999999999999,5,12,180,444,384,LR
chb18,0.5789,0.5694,0.0034,0.9986,0.6667,0.0067,0.501,0.515,0.57,5,12,180,592,699,LR
chb19,0.6947,0.5911,0.0068,0.9979,0.6667,0.0134,0.5023,0.7579,0.35999999999999993,5,12,180,296,475,LR
chb20,0.6265,0.5178,0.0054,0.9981,0.6667,0.0108,0.5018,0.6716,0.59,5,12,180,369,536,LR
chb22,0.3822,0.2897,0.0,0.9981,0.0,0.0,0.499,0.7018,0.69,5,12,180,296,513,LR
chb23,0.3558,0.2337,0.0,0.9978,0.0,0.0,0.4989,0.7815,0.71,5,12,180,608,1382,LR
chb24,0.6082,0.4409,0.0011,0.9976,0.2,0.0021,0.4993,0.8551,0.6799999999999999,5,12,180,939,1684,LR
